,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,Date,Latitude,Longitude,geometry,index_right
51661,-122.32521590559556,47.63486592417483,51662,66194,66194,2792384,Matched,Intersection,28329.0,EASTLAKE AVE E AND E BLAINE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-11-08T00:00:00.000Z,11/8/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,,7312006.0,,45,Vehicle - Pedalcyclist,24782,0,N,2007-11-08 00:00:00,47.63486592417483,-122.32521590559556,POINT (-122.3252159055956 47.63486592417483),0
51698,-122.40636222892984,47.674897675273215,51699,66693,66693,2828937,Matched,Block,,SEAVIEW AVE NW BETWEEN NW 61ST ST AND NW 67TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-06-08T00:00:00.000Z,6/8/2007,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7159042.0,,45,Vehicle - Pedalcyclist,28770,0,N,2007-06-08 00:00:00,47.674897675273215,-122.40636222892984,POINT (-122.4063622289298 47.67489767527321),0
51734,-122.33618658042072,47.66086041265595,51735,65261,65261,2881125,Matched,Block,,WALLINGFORD AVE N BETWEEN N 44TH ST AND N 45TH ST,,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2007-12-14T00:00:00.000Z,12/14/2007 2:38:00 PM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,0,Overcast,Dry,Daylight,,7348005.0,,45,Vehicle - Pedalcyclist,6234,0,N,2007-12-14 14:38:00,47.66086041265595,-122.33618658042072,POINT (-122.3361865804207 47.66086041265595),0
51735,-122.34759659229184,47.62149011055941,51736,66868,66868,2807311,Matched,Block,,5TH AVE N BETWEEN BROAD ST AND HARRISON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-04-30T00:00:00.000Z,4/30/2007 9:37:00 AM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,0,Clear or Partly Cloudy,Dry,Daylight,,7120001.0,,45,Vehicle - Pedalcyclist,20363,0,N,2007-04-30 09:37:00,47.62149011055941,-122.34759659229184,POINT (-122.3475965922918 47.62149011055941),0
51745,-122.29028647534994,47.54611811686693,51746,66101,66101,2794520,Matched,Intersection,33644.0,33RD AVE S AND S GRAHAM ST,,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2007-08-30T00:00:00.000Z,8/30/2007 10:10:00 PM,At Intersection (intersection related),69.0,PEDALCYCLIST OVERTURNED IN ROAD,,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,7242001.0,,45,Vehicle - Pedalcyclist,37727,0,N,2007-08-30 22:10:00,47.54611811686693,-122.29028647534994,POINT (-122.2902864753499 47.54611811686693),0
51821,-122.34993770002696,47.65603412211573,51822,66239,66239,2807921,Matched,Block,,FREMONT AVE N BETWEEN XW N40 AND N 41ST ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-07-10T00:00:00.000Z,7/10/2007 11:25:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7191005.0,,45,Vehicle - Pedalcyclist,8390,0,N,2007-07-10 11:25:00,47.65603412211573,-122.34993770002696,POINT (-122.349937700027 47.65603412211573),0
51830,-122.3353731366508,47.61213645869891,51831,66780,66780,2805011,Matched,Intersection,29568.0,6TH AVE AND PINE ST, ,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2007-10-02T00:00:00.000Z,10/2/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,,7275012.0,,45,Vehicle - Pedalcyclist,0,523150,N,2007-10-02 00:00:00,47.61213645869891,-122.3353731366508,POINT (-122.3353731366508 47.61213645869891),0
51940,-122.30647011228756,47.566432136876166,51941,65641,65641,2611993,Matched,Block,,BEACON AVE S BETWEEN BEACON WR N AVE S AND BEACON ER AVE S,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-06-04T00:00:00.000Z,6/4/2007,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,0,Clear or Partly Cloudy,Dry,Daylight,,7155001.0,,45,Vehicle - Pedalcyclist,13073,0,N,2007-06-04 00:00:00,47.566432136876166,-122.30647011228756,POINT (-122.3064701122876 47.56643213687617),0
52036,-122.26162088186048,47.54668144089619,52037,66518,66518,2807045,Matched,Intersection,33741.0,SEWARD PARK AVE S AND S VAN DYKE RD,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-04-15T00:00:00.000Z,4/15/2007 3:46:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,7105006.0,,45,Vehicle - Pedalcyclist,37492,0,N,2007-04-15 15:46:00,47.54668144089619,-122.26162088186048,POINT (-122.2616208818605 47.54668144089619),0
52042,-122.3208451357006,47.61815404745776,52043,65219,65219,2615207,Matched,Block,,BROADWAY BETWEEN E HOWELL ST AND E DENNY WAY,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2007-03-06T00:00:00.000Z,3/6/2007,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7065002.0,,45,Vehicle - Pedalcyclist,6825,0,N,2007-03-06 00:00:00,47.61815404745776,-122.3208451357006,POINT (-122.3208451357006 47.61815404745776),0
52103,-122.32790419393694,47.65369250834042,52104,66772,66772,2604024,Matched,Intersection,27257.0,1ST AVE NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-05-01T00:00:00.000Z,5/1/2007,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Raining,Wet,Dark - Street Lights On,,7121005.0,,45,Vehicle - Pedalcyclist,20110,0,N,2007-05-01 00:00:00,47.65369250834042,-122.32790419393694,POINT (-122.3279041939369 47.65369250834042),0
52126,-122.33754107425533,47.60779561252222,52127,66846,66846,2825427,Matched,Block,,2ND AVE BETWEEN UNIVERSITY ST AND UNION ST,,,2b,Serious Injury Collision,Cycles,4,0,1,2,1,1,0,2007-05-04T00:00:00.000Z,5/4/2007,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,7124011.0,,45,Vehicle - Pedalcyclist,12162,0,N,2007-05-04 00:00:00,47.60779561252222,-122.33754107425533,POINT (-122.3375410742553 47.60779561252222),0
52136,-122.31628654112659,47.66899929837647,52137,67182,67182,2795065,Matched,Block,,11TH AVE NE BETWEEN NE 55TH ST AND NE 56TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-06-18T00:00:00.000Z,6/18/2007 2:50:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7169002.0,,45,Vehicle - Pedalcyclist,9051,0,N,2007-06-18 14:50:00,47.66899929837647,-122.31628654112659,POINT (-122.3162865411266 47.66899929837647),0
52161,-122.3426340879221,47.61460039830765,52162,66612,66612,2791510,Matched,Intersection,29546.0,4TH AVE AND BLANCHARD ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-08-06T00:00:00.000Z,8/6/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7218022.0,,45,Vehicle - Pedalcyclist,12814,0,N,2007-08-06 00:00:00,47.61460039830765,-122.3426340879221,POINT (-122.3426340879221 47.61460039830765),0
52236,-122.35082433588026,47.61308949389836,52237,65664,65664,2825879,Matched,Block,,WALL ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2007-05-31T00:00:00.000Z,5/31/2007 5:34:00 PM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7151001.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-05-31 17:34:00,47.61308949389836,-122.35082433588026,POINT (-122.3508243358803 47.61308949389836),0
52276,-122.32680418837404,47.61521815296027,52277,66528,66528,2906080,Matched,Intersection,29862.0,BELLEVUE AVE AND E PINE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-11-19T00:00:00.000Z,11/19/2007 11:56:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,Y,7323003.0,,45,Vehicle - Pedalcyclist,10342,0,N,2007-11-19 11:56:00,47.61521815296027,-122.32680418837404,POINT (-122.326804188374 47.61521815296027),0
52429,-122.32080786644516,47.615817946799226,52430,66385,66385,2827553,Matched,Block,,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2007-08-21T00:00:00.000Z,8/21/2007 3:05:00 PM,Mid-Block (not related to intersection),54.0,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,0,Clear or Partly Cloudy,Dry,Daylight,,7233010.0,,45,Vehicle - Pedalcyclist,6853,0,N,2007-08-21 15:05:00,47.615817946799226,-122.32080786644516,POINT (-122.3208078664452 47.61581794679923),0
52476,-122.3207593142374,47.61067506823738,52477,67327,67327,2828072,Matched,Block,,BROADWAY BETWEEN MARION ST AND MADISON ST,,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2007-11-17T00:00:00.000Z,11/17/2007 8:30:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Dry,Dark - Street Lights On,Y,7321002.0,,45,Vehicle - Pedalcyclist,42005,0,N,2007-11-17 20:30:00,47.61067506823738,-122.3207593142374,POINT (-122.3207593142374 47.61067506823738),0
52503,-122.300013330534,47.633339543517685,52504,66473,66473,C687197,Matched,Block,,26TH AVE E BETWEEN E GARFIELD ST AND BOYER AVE E,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-05-09T00:00:00.000Z,5/9/2007,Mid-Block (but intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Unknown,Unknown,Unknown,,7129052.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-05-09 00:00:00,47.633339543517685,-122.300013330534,POINT (-122.300013330534 47.63333954351769),0
52601,-122.32346608916266,47.6375274002424,52602,65685,65685,2806476,Matched,Block,,BOYLSTON AVE E BETWEEN LAKEVIEW N BV E AND E BOSTON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-05-17T00:00:00.000Z,5/17/2007 2:02:00 PM,Mid-Block (but intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7137023.0,,45,Vehicle - Pedalcyclist,37357,0,N,2007-05-17 14:02:00,47.6375274002424,-122.32346608916266,POINT (-122.3234660891627 47.6375274002424),0
52614,-122.32005761622582,47.64227343347911,52615,65968,65968,2906357,Matched,Block,,10TH AVE E BETWEEN E MILLER ST AND E ROANOKE W ST,,,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2007-12-08T00:00:00.000Z,12/8/2007,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,7342004.0,,45,Vehicle - Pedalcyclist,6086,0,N,2007-12-08 00:00:00,47.64227343347911,-122.32005761622582,POINT (-122.3200576162258 47.64227343347911),0
52638,-122.30060498001896,47.66626671821327,52639,66053,66053,C691870,Matched,Intersection,25949.0,25TH AVE NE AND NE BLAKELEY ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-09-08T00:00:00.000Z,9/8/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7251040.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-09-08 00:00:00,47.66626671821327,-122.30060498001896,POINT (-122.300604980019 47.66626671821327),0
52670,-122.32453975280428,47.67979893814184,52671,66248,66248,2795763,Matched,Intersection,24582.0,WOODLAWN AVE NE AND NE 71ST ST, ,,2,Injury Collision,Pedestrian,3,1,1,1,2,0,0,2007-04-28T00:00:00.000Z,4/28/2007 5:18:00 PM,At Intersection (intersection related),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Clear or Partly Cloudy,Dry,Daylight,Y,7118003.0,,0,Vehicle going straight hits pedestrian,0,524025,N,2007-04-28 17:18:00,47.67979893814184,-122.32453975280428,POINT (-122.3245397528043 47.67979893814184),0
52716,-122.33581704484004,47.62578474597368,52717,66690,66690,2804796,Matched,Intersection,28746.0,BOREN AVE N AND VALLEY ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-09-17T00:00:00.000Z,9/17/2007 9:39:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7260002.0,,45,Vehicle - Pedalcyclist,25335,0,N,2007-09-17 09:39:00,47.62578474597368,-122.33581704484004,POINT (-122.33581704484 47.62578474597368),0
52729,-122.32823458465236,47.670856232804006,52730,66187,66187,2829051,Matched,Intersection,25836.0,1ST AVE NE AND NE 58TH ST,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2007-05-22T00:00:00.000Z,5/22/2007 2:31:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Wet,Daylight,,7142002.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-05-22 14:31:00,47.670856232804006,-122.32823458465236,POINT (-122.3282345846524 47.67085623280401),0
52735,-122.31678189326038,47.60169336783192,52736,66949,66949,C686634,Matched,Intersection,30410.0,12TH AVE AND E YESLER WAY,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-05-26T00:00:00.000Z,5/26/2007 3:00:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Overcast,Dry,Daylight,,7146038.0,,45,Vehicle - Pedalcyclist,10532,0,N,2007-05-26 15:00:00,47.60169336783192,-122.31678189326038,POINT (-122.3167818932604 47.60169336783192),0
52743,-122.35756633587404,47.61795105151784,52744,66866,66866,C681000,Matched,Block,,ELLIOTT AVE BETWEEN BAY ST AND W DENNY WAY,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2007-01-27T00:00:00.000Z,1/27/2007 1:00:00 PM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7027040.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-01-27 13:00:00,47.61795105151784,-122.35756633587404,POINT (-122.357566335874 47.61795105151784),0
52750,-122.317722679387,47.66057874549278,52751,66629,66629,2829891,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 43RD N ST AND NE 45TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-07-02T00:00:00.000Z,7/2/2007,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7183004.0,,45,Vehicle - Pedalcyclist,9000,0,N,2007-07-02 00:00:00,47.66057874549278,-122.317722679387,POINT (-122.317722679387 47.66057874549278),0
52752,-122.28801103497204,47.5634566547864,52753,65675,65675,2798108,Matched,Block,,RAINIER AVE S BETWEEN S GENESEE S ST AND S OREGON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-08-03T00:00:00.000Z,8/3/2007,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,0,Clear or Partly Cloudy,Dry,Daylight,Y,7215042.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-08-03 00:00:00,47.5634566547864,-122.28801103497204,POINT (-122.288011034972 47.5634566547864),0
52799,-122.34233438592832,47.62626148318719,52800,66345,66345,2791797,Matched,Intersection,28736.0,DEXTER AVE N AND VALLEY ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-10-25T00:00:00.000Z,10/25/2007 6:57:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,1,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,7298001.0,,45,Vehicle - Pedalcyclist,12719,0,N,2007-10-25 18:57:00,47.62626148318719,-122.34233438592832,POINT (-122.3423343859283 47.62626148318719),0
52818,-122.35477519877215,47.56872400841281,52819,66959,66959,2827156,Matched,Block,,WEST MARGINAL WAY SW BETWEEN MARGINAL SB PL SW AND SW ANDOVER ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-08-21T00:00:00.000Z,8/21/2007 10:50:00 AM,Mid-Block (but intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,,7233008.0,,45,Vehicle - Pedalcyclist,18211,0,N,2007-08-21 10:50:00,47.56872400841281,-122.35477519877215,POINT (-122.3547751987721 47.56872400841281),0
52844,-122.30060498001896,47.66626671821327,52845,65282,65282,2829286,Matched,Intersection,25949.0,25TH AVE NE AND NE BLAKELEY ST, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2007-08-09T00:00:00.000Z,8/9/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7221001.0,,45,Vehicle - Pedalcyclist,0,521604,N,2007-08-09 00:00:00,47.66626671821327,-122.30060498001896,POINT (-122.300604980019 47.66626671821327),0
52983,-122.319234955002,47.65421717182837,52984,65145,65145,2829107,Matched,Block,,UNIVERSITY BR BETWEEN POINT B AND EASTLAKE AVE NE,,,2b,Serious Injury Collision,Cycles,1,0,1,0,1,1,0,2007-05-12T00:00:00.000Z,5/12/2007 9:28:00 AM,Mid-Block (not related to intersection),66.0,PEDALCYCLIST STRUCK OBJECT IN ROAD,,0,Clear or Partly Cloudy,Dry,Daylight,,7132001.0,,45,Vehicle - Pedalcyclist,11650,0,N,2007-05-12 09:28:00,47.65421717182837,-122.319234955002,POINT (-122.319234955002 47.65421717182837),0
53004,-122.39823125754612,47.655870437385495,53005,66709,66709,2825471,Matched,Intersection,26521.0,32ND AVE W AND W THURMAN ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-07-07T00:00:00.000Z,7/7/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7188004.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-07-07 00:00:00,47.655870437385495,-122.39823125754612,POINT (-122.3982312575461 47.6558704373855),0
53043,-122.34225641658414,47.659183226104616,53044,67068,67068,2825854,Matched,Intersection,26815.0,STONE WAY N AND N 43RD ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-07-04T00:00:00.000Z,7/4/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Unknown,Unknown,Dark - No Street Lights,Y,7185019.0,,45,Vehicle - Pedalcyclist,6355,0,N,2007-07-04 00:00:00,47.659183226104616,-122.34225641658414,POINT (-122.3422564165841 47.65918322610462),0
53152,-122.32748855205192,47.68165808077612,53153,65983,65983,2614335,Matched,Intersection,24573.0,LATONA AVE NE AND EAST GREEN LAKE DR N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-02-24T00:00:00.000Z,2/24/2007 7:05:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,Y,7055002.0,,45,Vehicle - Pedalcyclist,7307,0,N,2007-02-24 07:05:00,47.68165808077612,-122.32748855205192,POINT (-122.3274885520519 47.68165808077612),0
53174,-122.3378036012648,47.62203884999021,53175,66469,66469,2825963,Matched,Block,,HARRISON ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-09-11T00:00:00.000Z,9/11/2007 1:15:00 PM,Driveway Junction,51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,7254001.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-09-11 13:15:00,47.62203884999021,-122.3378036012648,POINT (-122.3378036012648 47.62203884999021),0
53211,-122.28134495158967,47.5342010357296,53212,66978,66978,2613166,Matched,Block,,S AUSTIN ST BETWEEN 40TH AVE S AND M L KING JR WR WAY S,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-05-10T00:00:00.000Z,5/10/2007 6:00:00 PM,Driveway Junction,51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,7130002.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-05-10 18:00:00,47.5342010357296,-122.28134495158967,POINT (-122.2813449515897 47.5342010357296),0
53247,-122.33466559753744,47.60968542083136,53248,65152,65152,2608394,Matched,Intersection,29913.0,5TH AVE AND UNION ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-05-08T00:00:00.000Z,5/8/2007,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,7128002.0,,45,Vehicle - Pedalcyclist,25512,0,N,2007-05-08 00:00:00,47.60968542083136,-122.33466559753744,POINT (-122.3346655975374 47.60968542083136),0
53276,-122.33703796538553,47.61143968048041,53277,66736,66736,2608397,Matched,Block,,PINE ST BETWEEN 4TH AVE AND 5TH AVE,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2007-06-23T00:00:00.000Z,6/23/2007 2:45:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7174001.0,,45,Vehicle - Pedalcyclist,21836,0,N,2007-06-23 14:45:00,47.61143968048041,-122.33703796538553,POINT (-122.3370379653855 47.61143968048041),0
53338,-122.37400315768764,47.64021330167473,53339,67060,67060,2617091,Matched,Block,,GILMAN UPPER DR W BETWEEN 13TH AVE W AND W WHEELER ST,NEI,"Not Enough Information, or Insufficient Location Information",2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-07-11T00:00:00.000Z,7/11/2007 3:00:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7192031.0,,45,Vehicle - Pedalcyclist,15442,0,N,2007-07-11 15:00:00,47.64021330167473,-122.37400315768764,POINT (-122.3740031576876 47.64021330167473),0
53364,-122.33754107425533,47.60779561252222,53365,67379,67379,2607599,Matched,Block,,2ND AVE BETWEEN UNIVERSITY ST AND UNION ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2007-08-10T00:00:00.000Z,8/10/2007 9:04:00 AM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,7222007.0,,45,Vehicle - Pedalcyclist,12162,0,N,2007-08-10 09:04:00,47.60779561252222,-122.33754107425533,POINT (-122.3375410742553 47.60779561252222),0
53515,-122.3344772350786,47.604446464596656,53516,67539,67539,2797726,Matched,Intersection,29968.0,2ND AVE AND MARION ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2007-12-06T00:00:00.000Z,12/6/2007,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,,7340036.0,,45,Vehicle - Pedalcyclist,12103,0,N,2007-12-06 00:00:00,47.604446464596656,-122.3344772350786,POINT (-122.3344772350786 47.60444646459666),0
53546,-122.3411250232512,47.68729740924585,53547,68420,68420,2881382,Matched,Block,,GREEN LAKE DR N BETWEEN N 80TH ST AND STONE AVE N,,,2,Injury Collision,Other,2,0,1,1,1,0,0,2007-09-06T00:00:00.000Z,9/6/2007,Mid-Block (but intersection related),69.0,PEDALCYCLIST OVERTURNED IN ROAD,Y,0,Clear or Partly Cloudy,Dry,Daylight,,7249001.0,,53,"Person fell, jumped or was pushed from vehicle",9812,0,N,2007-09-06 00:00:00,47.68729740924585,-122.3411250232512,POINT (-122.3411250232512 47.68729740924585),0
53676,-122.2924030537881,47.7328464994026,53677,68415,68415,2830153,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 143RD ST AND NE 145TH ST,,,2b,Serious Injury Collision,Cycles,4,0,2,1,1,1,0,2007-10-19T00:00:00.000Z,10/19/2007 10:03:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,7292010.0,,45,Vehicle - Pedalcyclist,17684,0,N,2007-10-19 22:03:00,47.7328464994026,-122.2924030537881,POINT (-122.2924030537881 47.7328464994026),0
53722,-122.31643594456584,47.656021397840334,53723,67683,67683,2611337,Matched,Block,,NE CAMPUS EB PY BETWEEN NE CAMPUS PY OFF RP AND 12TH AVE NE,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2007-02-06T00:00:00.000Z,2/6/2007,Mid-Block (not related to intersection),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,0,Overcast,Dry,Daylight,,7037003.0,,45,Vehicle - Pedalcyclist,30451,0,N,2007-02-06 00:00:00,47.656021397840334,-122.31643594456584,POINT (-122.3164359445658 47.65602139784033),0
