,CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Date,Latitude,Longitude,geometry,index_right
49713,196231f23a6c2c29931b05ec7db9243430029924cf5c557bce5cd27067176f9643db4c0bebbb47696e774458236436de655bf192a78ed73d71a7c73a211770cf,JD164640,,02/25/2020 05:04:00 PM,30,NO CONTROLS,NO CONTROLS,BLOWING SNOW,DUSK,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",02/25/2020 05:19:00 PM,WEATHER,NOT APPLICABLE,1761,N,CLYBOURN AVE,1813.0,,,Y,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,17,3,2,41.913163736,-87.652441731,POINT (-87.652441731328 41.913163736211),2020-02-25 17:04:00,41.913163736,-87.652441731,POINT (-87.652441731 41.913163736),0
49751,1967faf02a87434eadc0924be77209fbe78e99f2ddce8ec81fe7375d42a68db84bf0651b9aa987032704fde59dff768843036e4f937a896a8aa43877ebd4b674,JC207852,,04/01/2019 03:57:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/01/2019 04:10:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,97,N,MICHIGAN AVE,114.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,4,41.883178584,-87.624250416,POINT (-87.624250416005 41.88317858382),2019-04-01 15:57:00,41.883178584,-87.624250416,POINT (-87.624250416 41.883178584),0
50056,1999b36d2c70f2cccf1a36c8f92793951b6fcdc03afc5b5c6d17fed2efc2911e0f28d1ac06873fd6d73007a3c147f9272f02bd683e42c1cd30635c8a3c40b53d,JC469990,,10/12/2019 01:10:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/12/2019 01:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1523,N,MILWAUKEE AVE,1424.0,,,Y,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13,7,10,41.909272283,-87.675512321,POINT (-87.675512320879 41.909272282868),2019-10-12 13:10:00,41.909272283,-87.675512321,POINT (-87.675512321 41.909272283),0
50099,19a231cfc5d5d5525f5b968b67940530a5995a9361644453bfc932a73ac441541a0d3c322f1d656d0fde2544c835a89c93005c724217706b08049c3bbf3aa90f,JA446280,,09/25/2017 03:40:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,Y,"$501 - $1,500",09/25/2017 03:47:00 PM,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,2601,E,79TH ST,422.0,,N,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,15,2,9,41.751685946,-87.561323001,POINT (-87.561323000632 41.751685946296),2017-09-25 15:40:00,41.751685946,-87.561323001,POINT (-87.56132300100001 41.751685946),0
50152,19abfddeae6bf997abe247a044e79c54436f89bc9ea2d1874c9493a002b9d6223c008153c56a9be34a79b9288820ba4cdaa218f28b8b31583c2154623d96a308,JA387425,,08/11/2017 06:40:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,08/11/2017 08:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,11100,S,CENTRAL PARK AVE,2211.0,,,N,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18,6,8,41.69131491,-87.710721752,POINT (-87.710721751606 41.691314909986),2017-08-11 18:40:00,41.69131491,-87.710721752,POINT (-87.710721752 41.69131491),0
50231,19b63cdaca2d011bbac9b6bb84b8a56044a20d6f104bd93228b97c02d5bc1275409b09fbe20b770fe945978c6229241e3da3e3b7fb9132cc32c05c364bbcb8a8,JB554879,,12/15/2018 06:50:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",12/15/2018 06:59:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1600,S,UNION AVE,1235.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,4.0,0.0,18,7,12,41.859931601,-87.645020696,POINT (-87.645020696476 41.859931601037),2018-12-15 18:50:00,41.859931601,-87.645020696,POINT (-87.645020696 41.859931601),0
50275,19be6ba7049f321b6bc4eba0d39ce37757fe21b4214df2581eae055d69b2a8adce12edcc3aa8b49394ed4282be503868fc688d4714b83f8f19c5bc1b86f31bdb,JC329721,,07/01/2019 08:58:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",07/01/2019 08:58:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5601,W,BYRON ST,1633.0,,,,,,,2.0,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,2.0,0.0,8,2,7,41.951222824,-87.76706004,POINT (-87.767060039759 41.951222824036),2019-07-01 08:58:00,41.951222824,-87.76706004,POINT (-87.76706004 41.951222824),0
50290,19bfa4400ec7d79b838101ffa33e966a1d15bec9c7d84c6f24df304d40bcf7c6550a3f07ea40e3e4c718b94ec8b02ae56dfbb7ba0b9d7e3b0761352ca03e8502,HY547753,,12/16/2015 05:15:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,$500 OR LESS,12/23/2015 03:03:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DRIVING ON WRONG SIDE/WRONG WAY,300,S,GREEN ST,1232.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,4,12,41.877863838,-87.648555965,POINT (-87.648555964834 41.877863837849),2015-12-16 17:15:00,41.877863838,-87.648555965,POINT (-87.648555965 41.877863838),0
50300,19c1b856c9f1b2f61bea91ca9c75602d2bc6ca191f90ac0663fa185a918e219a906965c2fa5b0d0b2ec43b116e4aac2b9d362107143e06adcf04e7e6628df9b0,JA391407,,08/14/2017 10:35:00 PM,35,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,08/14/2017 10:36:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,560,W,GRAND AVE,1214.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22,2,8,41.891372967,-87.642804245,POINT (-87.642804245091 41.891372966848),2017-08-14 22:35:00,41.891372967,-87.642804245,POINT (-87.64280424499999 41.891372967),0
50316,19c4721f48a73c71fa2cb4ca36bfd0277d886acbc7f1df3dc922457a1ee4b97e172ee45b68c82aac5ba5daff42840ded354aabc53f80dbcfc8f380ff5474c1f1,JA358863,,07/22/2017 03:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/22/2017 03:03:00 PM,TEXTING,UNABLE TO DETERMINE,3999,W,VAN BUREN ST,1132.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,7,7,41.875160194,-87.725360206,POINT (-87.725360205504 41.875160193513),2017-07-22 15:00:00,41.875160194,-87.725360206,POINT (-87.725360206 41.875160194),0
50652,19f8c93428d2a15831b6605fd80d1a6699d953fa08e0dd21e672d4d2472863738ddf1b8cf3d8d3eab9e7bb0e9e199d20df6511f687d62abfc4f8a95f09b454c7,JB298230,,06/08/2018 01:08:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,06/08/2018 01:10:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,2011,W,ARMITAGE AVE,1434.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,13,6,6,41.91763783,-87.678112462,POINT (-87.678112461595 41.917637830289),2018-06-08 13:08:00,41.91763783,-87.678112462,POINT (-87.678112462 41.91763783),0
50833,1a144aa258d0bc9ecff3f44ac7152511cf51bf965c8d2ea007c485ad725bb70c3480b967da3718e71667890d043246af30c6c72707c32a9731556eb0e2914c3a,JB296401,,06/07/2018 07:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",06/07/2018 07:11:00 AM,NOT APPLICABLE,CELL PHONE USE OTHER THAN TEXTING,2011,W,OGDEN AVE,1225.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7,5,6,41.872456249,-87.676581296,POINT (-87.676581295909 41.872456248645),2018-06-07 07:00:00,41.872456249,-87.676581296,POINT (-87.67658129599999 41.872456249),0
50938,1a257703a713bcf2f86414a3b27bc2681963c3f31d5f1eb5d2b7192f1144916e883fb572c32fea54d65d7a0977d6aad4bf5bacf0b19f8144af149f91d9353aea,HZ520843,,11/18/2016 05:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,5.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/18/2016 06:10:00 PM,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,800,N,HALSTED ST,1213.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,6,11,41.896474018,-87.647894993,POINT (-87.647894992663 41.896474017804),2016-11-18 17:50:00,41.896474018,-87.647894993,POINT (-87.64789499299999 41.896474018),0
50978,1a2c5f3b292b7e1c05ae97182090d1726d7295a82b5dec545505bd015362f09c9192fdd59763f721013c74a6f4cd13668ae5770c93a58b8505a5440e7327822f,JA386159,,08/10/2017 09:23:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,08/10/2017 09:50:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,7300,N,RIDGE BLVD,2411.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,21,5,8,42.014063499,-87.683849829,POINT (-87.683849828533 42.01406349887),2017-08-10 21:23:00,42.014063499,-87.683849829,POINT (-87.683849829 42.014063499),0
51002,1a3138989241a6c8178ddc10b2141dabe4eed66a585b4b1df49725fb1fcd62cc329c466e38efb126153794eecff70efcd7c22402ace86bd5e4efe10d83403e46,JA387415,,08/11/2017 08:16:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,08/11/2017 08:16:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3452,N,LAKE SHORE DR,1925.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,6,8,41.945165769,-87.641637344,POINT (-87.641637344483 41.945165769451),2017-08-11 20:16:00,41.945165769,-87.641637344,POINT (-87.641637344 41.945165769),0
51015,1a32f18e0e4f7ac0ee190cfe1accc0df0a8c527333331cf85c4c569e54306e8e1059ee6f4f2bb5a9043038e6d0226a22bfff08e60eae0e4065a57230851b7107,HZ389008,,08/12/2016 11:45:00 AM,25,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,08/12/2016 01:50:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,243,N,PARKSIDE AVE,1512.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,6,8,41.885506001,-87.766551568,POINT (-87.766551568063 41.885506000712),2016-08-12 11:45:00,41.885506001,-87.766551568,POINT (-87.766551568 41.885506001),0
51044,1a389c35fbc2a969c36783b5f673620f993d4f3aa6d9d7c97f015e9e5194937768e5f6e76adbc263934d2424a50ba58d8c893215892028a65a1b7a5167746c77,JA561024,,12/23/2017 05:04:00 PM,30,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,DUSK,PEDALCYCLIST,OTHER,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",12/23/2017 05:06:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,DISREGARDING OTHER TRAFFIC SIGNS,1699,E,71ST ST,324.0,,,,,,,2.0,FATAL,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17,7,12,41.765892499,-87.583728442,POINT (-87.583728442009 41.765892499162),2017-12-23 17:04:00,41.765892499,-87.583728442,POINT (-87.58372844199999 41.765892499),0
51076,1a3dbc1d2fac61cad3c67b4c4d72c78fc167eba9e9251548045001a25e030d12812a19a5f7587040c506733afdf443738d6fff8c9da788b2e0a86c1c9ff6ee09,JC442809,,09/21/2019 03:10:00 PM,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,09/21/2019 03:10:00 PM,NOT APPLICABLE,NOT APPLICABLE,2300,W,GRAND AVE,1221.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15,7,9,41.890810447,-87.684313326,POINT (-87.684313325796 41.890810447097),2019-09-21 15:10:00,41.890810447,-87.684313326,POINT (-87.68431332599999 41.890810447),0
51276,1a5ec05700824576e6333eb3c64a91f7f26ac7a9b9b894df06b623fae3052024d7996ec63801b0c14adbe10eab4edd1e5ae46950164144a69f2c0d51c547abcc,JC280236,,05/27/2019 03:58:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",05/27/2019 03:58:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3737,W,POLK ST,1133.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3,2,5,41.870698181,-87.719586629,POINT (-87.719586629393 41.870698180506),2019-05-27 03:58:00,41.870698181,-87.719586629,POINT (-87.71958662900001 41.870698181),0
51356,1a6b47fe0698682315e14eb8a733cfcd5342bbb2a82fe1c8db567542e76ca1cd150d0a97092d942416cba5c0ab2a760e5f105c3cdc0921ad5e3698844e4b0df8,JB448390,,09/24/2018 06:57:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",09/24/2018 06:59:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3532,W,BELMONT AVE,1732.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6,2,9,41.939339026,-87.716318578,POINT (-87.71631857756 41.939339025686),2018-09-24 06:57:00,41.939339026,-87.716318578,POINT (-87.716318578 41.939339026),0
51413,1a75401480e6d523db4d9adac35b13ca27ded3a724ba1acfa18b0296870624a9d98a90daec98b727ac9271ff46595ae6339c0645e14c0a8c2a8cc4403469cf47,JB401865,Y,08/01/2018 06:55:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",08/20/2018 07:05:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,850,W,ARGYLE ST,2024.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,4,8,41.973460613,-87.652171394,POINT (-87.652171393511 41.973460612687),2018-08-01 18:55:00,41.973460613,-87.652171394,POINT (-87.65217139400001 41.973460613),0
51434,1a785f1e80413861f8586d4b7a26553b73639626940fcda40e0a1714fbdd74cce1006e50b66ec2505431f4167bf52d0abdbbac85efd2829bb139daf6f70dddda,JC193724,,03/21/2019 09:00:00 AM,15,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,ALLEY,,STRAIGHT AND LEVEL,WET,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,03/21/2019 09:10:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,2915,W,61ST ST,823.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9,5,3,41.782601823,-87.696628745,POINT (-87.696628745369 41.782601823179),2019-03-21 09:00:00,41.782601823,-87.696628745,POINT (-87.696628745 41.782601823),0
51615,1a97eaf677a5b4538ad52d9d2c512edc7693f8ae48ab2c4241a3db5c05bfb1933edc1ab79ba55678cec67ac4e3c7b871851d298569c0c5871c660592a24aa71b,JA250505,,05/04/2017 02:25:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",05/04/2017 02:28:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2600,W,THORNDALE AVE,2011.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,14,5,5,41.988713763,-87.694535958,POINT (-87.694535958139 41.988713763205),2017-05-04 14:25:00,41.988713763,-87.694535958,POINT (-87.694535958 41.988713763),0
51636,1a9b04e185ed39f0e500789f3fd625215d8324bbe08aa7b71e0d303141d3eb8a0a47abbd95bc8bd369a0739b5622b758274e4787914d78bff2eedbac3fb570d6,JC359839,,07/15/2019 04:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"$501 - $1,500",07/22/2019 03:35:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4614,W,LAWRENCE AVE,1712.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,16,2,7,41.96818629,-87.743556113,POINT (-87.743556112718 41.968186289509),2019-07-15 16:00:00,41.96818629,-87.743556113,POINT (-87.743556113 41.96818629),0
51683,1aa2d019377019999cf3ca7278e5648a7560884afde00a812ae329b32a0bb7885136375b83b657e12c0ab45780ffe8cf8570dea7e490a3aeea4f2ece6eae7714,JB350621,,07/15/2018 03:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/15/2018 11:30:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3725,N,CLARK ST,1923.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3,1,7,41.949667811,-87.658325993,POINT (-87.658325993208 41.949667810989),2018-07-15 03:00:00,41.949667811,-87.658325993,POINT (-87.65832599300001 41.949667811),0
51693,1aa4c55d8a89a01047ca2405a6c4cd18dd9be95a42e48d48ecc9224ec2ad43c190fcc6163c0be9c4600814fbd4306cd5358e837c823aa50e8797f8dab67579a8,JC330924,,07/01/2019 10:05:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"$501 - $1,500",07/01/2019 10:07:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,6600,S,DR MARTIN LUTHER KING JR DR,312.0,,,,,,,,,,,,,,,,22,2,7,41.774693459,-87.615636822,POINT (-87.615636821647 41.774693459289),2019-07-01 22:05:00,41.774693459,-87.615636822,POINT (-87.615636822 41.774693459),0
51709,1aa738e451ca42abe22d697634c96f3631ea73538acff8c51948b1c87bebae57a6228c874347387a74a18f426553dc70ce29cef04618a9dafa876e03c5dcd61a,JB404534,,08/22/2018 07:16:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,08/22/2018 07:18:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,3601,N,SOUTHPORT AVE,1923.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,4,8,41.947161157,-87.663870702,POINT (-87.663870702186 41.947161157128),2018-08-22 19:16:00,41.947161157,-87.663870702,POINT (-87.663870702 41.947161157),0
51743,1aab8c7a9c5785be3eaf7c1ae2444b8a2236afdfa2b69cd3636bb8f98d9e6c3ac6f8ba2d2dab8ff42c2d5d979faeef6f32ce52cf0ba9f22a066053d307cae35d,HZ436964,,09/16/2016 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,09/16/2016 05:05:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5145,N,KEDZIE AVE,1713.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,7,6,9,41.975302281,-87.708524309,POINT (-87.708524309443 41.97530228134),2016-09-16 07:30:00,41.975302281,-87.708524309,POINT (-87.708524309 41.975302281),0
51783,1ab223fccb1e610fd492ad6335a73f633f1a4823914b96ea95e09219382f45db39f35eb0cc245c2b7a871194a6836880d34c2fca16b1e6b359baf5ee057137dc,JC379206,,08/05/2019 09:22:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,,"$501 - $1,500",08/05/2019 09:23:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3701,W,OGDEN AVE,1014.0,N,Y,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,9,2,8,41.853475323,-87.717490612,POINT (-87.717490612106 41.853475323255),2019-08-05 09:22:00,41.853475323,-87.717490612,POINT (-87.71749061200001 41.853475323),0
